generated,actual
many buildings are near a railway station .,the huge gray ceiling is over the rails .
many buildings and some greenness plants are near a railway station .,the train garage is next to a river .
many trains are running on the railway station surrounded by lots of buildings .,rails getting out of the huge gray rectangular ceiling are into confluence area .
many buildings are around a railway station .,dark green rectangular ceilings are over rails converging to merging area .
A railway station with lots of railways is near some buildings and houses .,there is a circular building in the middle of the field .
many buildings are around a railway station .,a large grey roof house was built around the railway station .
many buildings are near a railway station .,many trees are planted near the railway station .
many buildings and some green trees are near a railway station .,the spindle shaped rails covered by four red banded ceiling is surrounded by houses .
many buildings and some railways are in a railway station .,rails getting out of huge white station platform converge to merging area .
many buildings are around a railway station .,there are rows of residential areas next to the road .
many buildings are in two sides of a railway station .,the rectangular building is a railway station .
A railway station with lots of railways is near some buildings .,huge white station platform are over the spindle shaped rails .
many buildings are near a railway station .,the railway station is combined by a huge building surrounded a parking lot and blue station platform over the rails .
many buildings are near a railway station .,there is a rectangular station platform over the spindle shaped rails
many buildings are near a railway station .,the circular building is a railway station .
many buildings are near a railway station .,on the side of the station there is a bare land .
A railway station with lots of railways is surrounded by some buildings and green trees .,the huge silvery rectangular railway station is over the spindle shaped rails .
A railway station with lots of railways and buildings is surrounded by some buildings .,the huge silvery station platform is over the spindle shaped rails .
many buildings are crowded together .,the huge station platform is over the spindle shaped rails .
many buildings and some green trees are near a railway station .,the huge rectangular station platform close the station with a silver ceiling is over the spindle shaped rails
many buildings are around a railway station near a river .,the huge rectangular station platform close the station with a silver ceiling is over the arc shaped rails
many buildings are around a railway station .,the rails getting out the rectangular station platform converge to merging area next a viaduct
many buildings and some green trees are near a road .,between the beach and a road there is a resort with red roof houses decorated with coconut trees and swimming pools.
A building with two swimming pools is surrounded by some trees and buildings .,on the beach there is a high rise resort building with a garden and swimming pools .
A building with a swimming pool is surrounded by some buildings and roads .,near the beach there is a high rise building and some houses in the resort.
A commercial area with lots of buildings and trees is surrounded by roads .,in the resort beside a beach there is a buildings and some coconut trees.
many buildings and some green trees are near a beach .,the buildings in the resort close to the beach has orange and red roofs .
many buildings and some green trees are near a resort with two swimming pools .,a leisure resort was built near the beach .
A swimming pool is surrounded by some buildings and green trees .,the swimming pool is among five independent villas with white rooftops .
Some tennis courts arranged neatly with some buildings and a parking lot are near a park .,we can see that close to the white building next to a parking lot there are playgrounds .
many buildings and some super_acid trees are near a beach with some swimming pools .,next to the beach is a large resort .
many buildings and some super_acid trees are near a beach with some swimming pools .,next to the road is a large resort .
A swimming pool with chairs is near a building .,a swimming pool is in the corner of the resort is on the beach .
A swimming pool with some plants surrounded .,a large t shaped swimming pool and a white building are on the beach .
A tennis court and a swimming pool are surrounded by buildings with orange roofs .,next to the road is a large resort .
A swimming pool with some plants surrounded .,the arc s shaped swimming is on the corner of the resort close to the beach .
A building with a parking lot is surrounded by some trees and a road beside .,there is a large resort next to the broad ocean .
many buildings and some green trees are near a beach .,the swimming pool is close to a l shaped building with a gray roof and a zigzag building with a white roof on the beach .
many buildings and some green trees are near a beach .,close to the beach there are two blocks of buildings one of which has four swimming pools .
A swimming pool with some chairs is surrounded by some buildings and some cars .,the parking lot is close to the swimming pool next to a l shaped building with a red roof on the beach
A swimming pool with some chairs is surrounded by buildings with orange roofs .,a curly swimming pool is among the ring of buildings with red roofs .
A swimming pool with some chairs is surrounded by some buildings and green trees .,the swimming pool is in front of a arc shaped building with orange roof close to beach .
many buildings and some green plants are near a beach .,dark blue pools buildings with vivid roofs grasslands are on the corner of the island .
A building with a swimming pool is surrounded by some trees and a tennis court .,we can see that a unique zigzag building a swimming pool a parking lot and two tennis fields are in the resort.
A swimming pool is surrounded by some buildings .,there is a large resort in the middle of the area .
A swimming pool with two swimming pools is surrounded by some buildings and parking lots .,the swimming is in the center of a ring of zigzag buildings next to a parking lot .
respective buildings and a parking lot are near some swimming pools .,two swimming pools are surrounded by a ring of houses with vivid roofs next to a road at the sea .
A swimming pool with some chairs is surrounded by some buildings .,there is a holiday house on the beach .
many boats are in a port near some buildings and a parking lot .,there is a circular pool as a roundabout on the coast along which there are some yachts .
many buildings and a swimming pool are near a port with some boats .,a arc line of houses and a line of houses at the sea surround the blue swimming pool
many buildings are in a medium residential area near a river .,there are many yellow roof houses beside the road .
It is a river with a forest on both banks of the river .,the river is across the land with dense trees .
It is a river with a channel bar and a forest on both banks of the river .,the turbid river is across the grassland with shrubs .
this is a river with a channel bar and some plants on both banks of the river .,the river is across the farmlands .
It is a river with a residential area on one bank and a farmland on the other side of the river .,a large number of trees are planted on both sides of the river .
It is a river with a channel bar and a lawn on one bank and some trees on the other side of the river .,the twisty river is across the grassland .
many buildings are in two sides of a curved river .,there is a river ponds and buildings in the valley.
It is a river with a channel bar and some boats are on the river .,there is a right angle in the river on the farmland .
It is a river with a forest on both banks of the river .,the river is across the land with dense trees .
many farmlands are on the banks of the river .,pieces of farmlands are at the bank of the fast flowing river .
it is a river with a forest on one bank and farmland on the other side of the river .,a piece of dense trees and pieces of farmlands are at the bank of the arc shaped river .
a long river with a winding bank goes through the farmland .,there are pieces of farmland at the river .
It is a river with a winding bank .,the river across the green land is limpid and swift flowing.
It is a river with a forest on both banks of the river .,the arc shaped across green land is so limpid that people can see its bed.
It is a river with a road on one side .,on either side of the river is a large area of green grass .
a river with a channel bar goes through the farmland .,the yacht is sailing in the river with small houses at it .
It is a river with a winding bank .,the twisty river is across the green land.
It is a river with a forest on one bank and farmland on the other side of the river .,the stretch of saddle shaped river is across land with pieces of trees and farmlands .
It is a river with a channel bar and some islands in the river .,on the farmland there is a u shaped river with two sandbars in it.
It is a river with a forest on one bank and meadows on the other side of the river .,pieces of farmlands and trees are at the river .
It is a river with a channel bar and some houses on one bank and on the other side of the river .,the saddle shaped river is across the land with towns and farmlands .
It is a river with a winding bank .,the twisty river is across the green rolling country .
It is a river with a bridge over it .,the river forks bends to two directions .
It is a river with a channel bar and some islands .,the river flows through the wide land .
It is a river with a boat in it .,on both sides of the river is a large area of farmland .
It is a river with a channel bar and many plants on both banks of the river .,there is a large area of farmland around the river .
It is a river with a channel bar and some fields on one side of the river .,there is a eyot in the arc shaped river .
A river with a bridge goes through the farmland .,the broad river is across the tract of land with pieces of farmlands and towns with dense houses .
It is a river with a house on one bank and another house on the other side of the river .,among forest there is a v shaped river with a zone of buildings on the bank.
It is a river with a channel bar and some houses on one bank and on the other side of the river .,hills farmlands and are at the river .
A river with a bridge goes through the farmland and residential area .,the saddle shaped river surround the land with pieces of farmlands and dense houses .
It is a river with a residential area on one bank and a industrial area on the other side of the river .,the river is across the rolling country with highways .
It is a river with a bridge over it .,the arc shaped river drains into the straight river .
many buildings are in two sides of a river .,the long river flows through the vast land .
A river with a bridge goes through the residential area .,the are some blue factory buildings in the land surrounded by the stretch of the saddle shaped river .
a river with a bridge goes through the farmland .,a river flows through the wide land .
A river with a bridge goes through the farmland .,the river with pieces farmlands at it forks to two directions .
It is a river with a channel bar and some houses on one bank and on the other side is a hill .,there are some densely populated areas on both sides of the river .
It is a river with a winding bank .,among mountains there is a winding river with buildings and roads built along .
A river with a channel bar goes through the residential area .,a town is located on the bank of the river with a island .
It is a river with a bridge over it .,the river flows through the tall mountain .
It is a river with a winding bank .,a large number of lawns are planted on both sides of the river .
many buildings are crowded together .,there is a school near the road .
many buildings and some green areas are in a school .,a playground was built in the school .
many buildings and some green plants are in a school .,there is a large green lawn near the school .
many buildings and some greenness trees are in a school .,buildings with gray roofs are distributed along the two sides of the road .
A football field is surrounded by some buildings and houses .,there is a huge rugby field with a ring of bleachers surrounded by buildings
many buildings and some green areas are in a school .,there is a school with buildings standing among trees and lawns .
A football field with some plants surrounded .,there are many residential areas near the school .
many buildings and some green plants are in a school .,there are unique buildings with red roofs .
many buildings and some green trees are in a school .,there are trees in front of the pieces of huge buildings .
many buildings and some greenness trees are in a school .,there are unique buildings surrounded by grassland .
many buildings and some greenness plants are near a road in a commercial area .,there is a road between two pieces of huge buildings .
many buildings and some greenness trees are in a school .,there are cars stopping under the huge unique buildings .
many buildings and some green trees are around a lawn in a school .,the oval shaped grassland is surrounded by tiny buildings with red roofs .
many buildings and some green trees are in a school .,the green football playground next to ten basketball playground is near the tiny buildings on the green land.
many buildings are crowded together .,the dense houses is close to each other .
many buildings and some greenness trees are in a school .,the school has tiny buildings with dark blue roofs .
many buildings are crowded together .,there are some grey buildings in the school including a building with a dome and a tower with a blue green roof.
many buildings and many commons trees are in a school .,there is a square covering a large area surrounded by trees .
A playground with some sports equipment is surrounded by some buildings and trees .,the school with a large ground track field is surrounded by the saddle shaped river .
many buildings and some green areas are in a school .,the buildings with red roofs are distributed along the two sides of the center axis .
many buildings and some green trees are in a school with a pond .,the tiny houses and trees covered the area .
many buildings and some greenness trees are in a school .,there is a large rectangular grassland surrounded by tiny buildings .
many buildings and some greenness trees are in a school .,many gray buildings and many green trees are in two sides of a road in a school .
many buildings and some green trees are in a school with a river beside .,there are tiny buildings with red roof in the school near the river .
many buildings and some greenness plants are in a school .,there is a school located in a forest .
many buildings and some green plants are in a school with a playground .,the school here is sandwiched between a forest and a residential area .
many buildings and some green trees are in a school .,a nattier blue shell shaped building is surrounded by the red and gray building cover large floor area .
many buildings and some green trees are in a school .,a large number of tall trees were planted around the red houses .
many buildings are crowded in a commercial area .,there are many tall buildings on both sides of the road .
many buildings are around a square with some green trees .,a row of trees were planted in the school .
A villa with orange roofs is surrounded by trees in the sparse residential area .,many tall trees were planted around the house with a brown roof .
A villa with gray roofs is surrounded by trees and lawn in the sparse residential area .,there is a green pool like a plane close the house with gray roof .
A house is surrounded by many trees .,the house with brown roof is surrounded by dense woods .
A plane is surrounded by some buildings and green trees .,there is a house and a swimming pool located in a lawn near the forest with a aircraft parked on the lawn.
A house is surrounded by many green trees .,the small house of green roof is under trees .
A villa with a swimming pool is surrounded by trees and lawn in the sparse residential area .,there is a swimming pool behind the brown house .
A house is surrounded by many green trees and a road beside .,there is a house with a z red roof next to the broad road .
A villa with a swimming pool is surrounded by trees and lawn in the sparse residential area .,there is a house with grey roof next to the road .
A villa with orange roof is surrounded by trees and lawn in the sparse residential area .,a white car and a red car stop at the house next to a stretch of twisty road .
A villa with a swimming pool is surrounded by many green trees and lawn in the sparse residential area .,there is a swimming pool behind the house .
A villa with a swimming pool is surrounded by trees and meadows .,an outdoor pool is located next to the brown roof .
A villa with orange roof is surrounded by trees and meadows .,near a farmland a house with a pitched orange roof and a swimming pool is located on a lawn with s coconut grove
A villa with a swimming pool is surrounded by trees .,the house close to which is a swimming pool is surrounded by trees .
A villa with a swimming pool is surrounded by many green trees and lawn in the sparse residential area .,there is a house near a square coconut grove on the lawn with coconut trees scattered around.
A villa with gray roofs is surrounded by trees in the sparse residential area .,the house with dark green roof is surrounded by trees .
A villa with a swimming pool is surrounded by trees and lawn in the sparse residential area .,the house with a swimming near it is on the grassland .
A house is surrounded by many sparse green trees .,rows of trees are planted around the house with a yellow roof .
A villa with a swimming pool is surrounded by trees .,in the middle of the forest there is a grey roof house .
A house with orange roofs is surrounded by trees and lawn in the sparse residential area .,two yellow roofs were built beside the road .
A villa with gray roofs is surrounded by trees and lawn in the sparse residential area .,the house surrounded by trees is next to a river .
A villa with orange roof is surrounded by many trees and lawn in the sparse residential area .,on the side of the road was a house with a yellow roof .
A villa with a swimming pool is surrounded by trees and lawn in the sparse residential area .,we can see that a river a grassland  a piece of trees and a road is around the house with a swimming pool.
A villa with orange roof is surrounded by many green trees and lawn in the sparse residential area .,the house is surrounded by carefully arranged vegetation and a straight road .
A swimming pool is surrounded by some trees and houses .,in front of the house there is a blue circular swimming .
A villa with a swimming pool is surrounded by fields and trees .,there are cars stopping around the house near which there two pieces of rectangular farmland .
A villa with a swimming pool is surrounded by trees and lawn in the sparse residential area .,the house of gray roof is surrounded by tall trees .
A house is surrounded by many putting_surface trees and a road goes through the farmland .,there are many tall trees on both sides of the wide road .
respective buildings are surrounded by trees and a lawn is in front of the buildings .,among forest four houses with three swimming pools built on the coast.
A villa with a swimming pool is surrounded by trees and lawn in the sparse residential area .,there are two car stopping at the house with a swimming pool .
A villa with orange roofs is surrounded by trees in the sparse residential area .,the house with khaki roof is on the side of the road .
This is a park with grass and trees .,several paths in the shape of oval and curving are in the square which is surrounded by the neighborhoods .
A square with some trees is surrounded by roads .,the park looking like a window is combined by one piece of square land and a piece of a a semicircle land
many people are in a square surrounded by buildings .,the octagon square has paths on four sides and black halls on the other sides .
Two buildings with a swimming pool are surrounded by lawn in the commercial area .,many trees are planted around the big square .
A church with a tower is surrounded by some buildings .,an oval square which is surrounded by some cars and flats contains two long oval paths crossing .
A square square with some plants is surrounded by lawn .,four half rounds parterre is at the four sides of the square which is on the lawn .
A roundabout with some cars parked in the middle of the roundabout .,the roundabout joining six roads surround several buildings .
A square with some plants is surrounded by buildings .,some red flats encircle the square which includes a circular lawn and some grotesque sod .
A square with some people in the middle is surrounded by roads .,an x path separates the sod in the square which is surrounded on three sides by the road .
many buildings are around a square with some trees in the middle .,next to the road is a large square .
many green trees and a square with some buildings are in a park .,the square in the forest contains several lawns for picnic .
this is a square square .,there is a polygonal pond with pathways in the middle of a square surrounded by some trees
A square with some trees is surrounded by buildings .,the rectangular square with a hexagon grassland is in the front of the huge church .
many immature trees are around a square square .,a square parterre is in the center of the square which is surrounded by some trees
many immature trees are scattered in a square .,some trees and lawns distribute in the square with a round parterre .
A church with a tower is surrounded by lawn in the park .,a square and two half rounds consist the square which is located in a diamond lawn .
A roundabout with some cars parked around it is surrounded by some buildings .,the square is located in the middle of the road .
many green trees and some buildings are in a square .,there are many trees and lawns around the square .
A roundabout connects the roads .,there is a large square beside the road .
A square with some square lawns is surrounded by roads .,the rectangular square is separated by a road which is full of cars including some bare trees .
A church with a tower is surrounded by roads .,there is a broad road next to the square .
A roundabout with some exits and entrances is in the forest .,the round square with some paths is surrounded by the forest.
A church with a tower is near a square with some trees .,there is a round square with five radial curved path around .
A square with some trees is surrounded by roads .,the polygonal square next to a huge buildings like a boomerang is combined by three pieces of grassland .
several buildings are near a square with some bare trees .,a square which is like half of a long oval is next to a street containing some bare trees .
A square with some trees is surrounded by buildings .,the square is surrounded by a row of residential areas .
A circle square with some plants is surrounded by roads .,the circular square in the lawn with some circumferential path around is surrounded by some trees .
A commercial area with some buildings and parking lots is surrounded by roads .,there is a tall building in the center of the square near a parking lot .
a building with a circle roof is surrounded by lawn and some roads .,on either side of the square is a row of houses with grey roofs .
a roundabout connects three roads .,the sectorial square on the lawn is between a grey house and a circumferential road .
A church with a tower is surrounded by some trees .,the square with a circular pond and lawn is surrounded by some trees .
respective rectangles are surrounded by many sparse trees .,many tall trees were planted around the square .
A square with some plants is surrounded by roads .,the wing shape square contains some bare land and trees .
This is a stadium with some seats in it .,on the square is a stadium with bowl shaped bleachers and an white awning .
This is an old stadium with a football field in it .,there is a big stadium beside the road .
A football field is in the middle of the stadium .,there is a gymnasium in the middle of the field .
This is an old stadium with a track field .,located among buildings the stadium has a colorful stand.
This is an old stadium with a football field in it .,the playground has a ring of huge white ceiling .
This is an old stadium .,at the corner of a intersection there is a elliptical stadium.
This is an old stadium with a football field in it .,there are some cars stopping under the huge stadium with a ring of red bleachers
A football field is surrounded by some buildings .,outside the stadium there are rows of grey roof houses .
A football field is in the middle of the stadium .,there is a rectangular football playground inside the ring of huge white circular ceiling .
A football field is surrounded by some buildings .,a square stadium with lines of parked cars are located near a road .
A football field with a gridiron is surrounded by some buildings .,there is a square stadium with pitched roof buildings and a parking lot around .
A football field is in the middle of this stadium .,there is a broad road outside the stadium .
This is an old stadium .,there is a football playground int the center of the ring of the huge rectangular filmy ceiling .
This is an old stadium with a football field in it .,huge words of awd arena are written int the bleachers of the stadium
This is an old stadium with a football field in it .,surrounded by a circular road and trees the stadium has a colorful stand and a white awning.
This is a stadium with a white roof .,there is a rectangular playground inside the ring of huge white circular ceiling .
A football field is in the middle of the building .,there is a large stadium in the center of the land .
This is an old stadium .,the stadium with a white ceiling radiating toward the center has some angles in its field .
This is an old stadium with a football field in it .,several buildings and green trees are around a stadium with a football field in it .
This is an old stadium .,some green trees are around an oval stadium with a football field in it .
This is an old stadium with white stands and a football field .,some buildings and green trees are around a stadium .
This is a stadium with a football field in it .,the stadium is located near a river together with a parking lot .
This is an old stadium .,a row of trees were planted around the stadium .
A football field is surrounded by some buildings .,beside a road there is a football field with parking lots without a car.
This is an old stadium .,a stadium with truss on the roof is built on the square near a parking lot .
A football field is surrounded by some trees and a pond .,located on a square surrounded by a pond there is a circular stadium with two crescent shaped awnings.
A football field with a gridiron is surrounded by some buildings .,there is an advertising board above one side of the grandstand in the stadium surrounded by some buildings .
This is an old stadium .,the stadium with a white awning is located on a square with parking lots with no cars .
This is a football field with some plants .,there are three buildings and two grandstands with awnings around the football field .
many storage tanks are in an industrial area .,there is a long river around the factory .
many storage tanks are on the ground .,there is a huge factory beside the road .
many storage tanks are on the ground .,next to the road is a large factory .
many storage tanks are in an industrial area .,a large number of storage tanks were built in the factory .
many storage tanks are in the lawn .,many different storage tanks were built on the land .
many storage tanks are in an industrial area .,there are many storage tanks in front of the orange fact .
many storage tanks are near a river .,a large number of trees were planted around the factory .
many storage tanks are on the bank .,there is a factory beside the river .
many storage tanks are on the ground .,there is some storage tanks built beside a wharf.
Two storage tanks are surrounded by some trees and buildings .,two blue columnar tanks standing in a rectangular field near a factory .
many storage tanks are in an industrial area .,there are many large storage tanks in the factory .
four storage tanks are near a parking lot and some green trees .,four white columnar tanks near a parking lot stand in a line .
nine storage tanks are on the ground .,there are nine white columnar tanks in three rectangular fields .
many storage tanks are on the lawn .,a lot of white storage tanks have been built in the factory .
many storage tanks are on the lawn .,there are rows of storage tanks connected by paths lying on the lawn .
many storage tanks are on the ground .,some storage tanks were built on the land .
many storage tanks are on the ground .,there are many storage tanks in the factory .
Three storage tanks are on the lawn .,there is a parking lot between two grassland of three columnar storage tanks .
many storage tanks are on the lawn .,there are many white storage tanks on both sides of the road .
three storage tanks are on the ground .,a house with a gray roof in front of a storage tank .
Three storage tanks are on the lawn .,there are three huge columnar tanks in the area .
nine storage tanks are on the ground .,there are some white storage tanks near two lines of houses with trees .
six storage tanks are on the ground .,there are five white columnar tanks in a fan shaped area near a stretch of railway and two huge buildings with white roofs .
nine white storage tanks are on the ground .,there are eight white columnar tanks occupies a trapezoidal area .
many storage tanks are on the ground .,some large white storage tanks were built in the factory .
Two storage tanks are on the lawn .,there are two large storage tanks in this area .
many storage tanks are near some green trees and a river .,a large number of white storage tanks in the factory .
many storage tanks are on the ground .,many large storage tanks were built beside the road .
nine storage tanks are on the lawn .,there are six silvery columnar tanks and six white columnar tanks in the grassland near a straight road .
many storage tanks are on the lawn .,many white storage tanks were built on the lawn .
many storage tanks are in an industrial area .,in the grassland there are many thirty eight columnar storage tanks of different sizes.
many storage tanks are in an industrial area .,there is a factory with workshops and some columnar tanks .
many storage tanks are on the lawn .,there are many white columnar tanks of different sizes near a stretch of saddle shaped road .
many storage tanks are on the ground .,there are seven white columnar tanks near a road with two tracks .
many storage tanks are on the ground .,many white houses were built around the storage tank .
many storage tanks are near a river and some buildings .,there is a wide river next to the factory .
some storage tanks are on the ground .,we can see three storage tanks and a long building standing on the triangle concrete on the lawn .
Two storage tanks are surrounded by some trees and meadows .,two large storage tanks were built on the land .
many storage tanks are near some buildings and a railway station .,there are some big gray columnar tanks linking to each other by pipes
many storage tanks are on the ground .,four blue tanks standing in a line and four white tanks standing in a line is near a parking lot with some cars .
A overpass with a road go across another two roads diagonally .,a viaduct is combined with a ring shaped road in one side and a triquetrous road in the other side .
A lot of cars are running on a viaduct surrounded by many trees .,through the orange toll station there is a bell mouthed viaduct.
many cars are running on a viaduct over the roads with some plants beside .,there is a service area in the corner of the viaduct with three circles .
A viaduct with a road go across another two roads diagonally .,a viaduct in the shape of figure of eight is on the bare land.
many super_acid trees are near a viaduct .,a trapezoidal viaduct combined with three circles is decorated by jungle .
A lot of super_acid trees are near a viaduct with some roads .,there is a bell mouthed viaduct with two circles surrounded by the dense jungle .
many roads go through the lawn with some trees .,many broad roads have been built on the land .
A viaduct with a road go across another two roads diagonally .,two railways pass through a ring shaped viaduct .
A lot of cars are running on a viaduct surrounded by some buildings and green plants .,many viaducts are built in this area .
A lot of cars are running on a viaduct .,some buildings and green trees are near a viaduct .
many cars are running on a complicated overpass .,there is a spindle shaped viaduct with many cars .
many overpasses of different sizes go through the land .,the interlaced viaduct is combined with multilayer roads .
many overpasses are over the roads in the residential area .,the t shaped viaduct is next to some houses .
many buildings and some immature trees are near a viaduct with some cars .,roads and viaducts forms to a cross over a saddle shaped line .
many cars are running on a viaduct over the road with a river in the middle .,the viaducts crisscross over the river .
A lot of houses are near a viaduct with some cars .,a large number of residential areas are located around the viaduct .
A viaduct with a road go across another two roads diagonally .,the arc shaped viaduct is connected to the straight road by ramps .
many overpasses are over the roads .,many overpasses have been built in this area .
A viaduct with a road go across another one diagonally .,near the overpass is a dense residential area .
many buildings are near a viaduct with some cars .,the overpass is surrounded by dense houses .
many buildings are near a viaduct with some cars .,many residential areas are located around the viaduct .
many buildings and some immature trees are near a viaduct with many cars .,the viaduct with a cloverleaf shaped ramp is across the road .
many cars are running on a viaduct surrounded by some buildings and some roads go through the lawn with some trees .,the viaduct with a 8 shaped ramp is across the broad road .
A overpass with a road go across another two roads diagonally .,the viaduct has four symmetrical rings of ramps .
A lot of cars are running on a viaduct with many trees .,the broad viaduct is connected to the twisty road by ramps .
many cars are running on a viaduct over the roads with some trees in two sides of it .,there is a diamond shaped traffic system combined with a viaduct in the shape of figure of eight
A overpass with a road go across another two roads diagonally .,the viaduct is connected to the road by four symmetrical rings of ramps with trees in them .
many cars are running on a viaduct over the roads surrounded by some buildings and some trees .,the viaduct is connected to the broad road by a eight shaped ramp .
A viaduct with a road go across another roads diagonally .,the viaduct has four symmetrical rings of ramps .
A lot of overpasses go through the roads surrounded by many buildings .,"a river, some buildings and many green trees are near a viaduct ."
A lot of houses are on both sides of the road .,a viaduct in a star shape is surrounded by dense buildings .
A lot of cars are running on a viaduct .,a broad viaduct with three ramps in cloverleaf pattern .
many buildings and some green areas are near a viaduct with some cars .,a t shaped traffic system combines with complex viaducts is next to dense buildings and a football playground .
A viaduct with a road go across another four roads diagonally .,a well symmetrical diamond shaped viaduct with four ring shape ramps is surrounded by trim buildings
many cars are on a viaduct over a road with some houses beside .,the straight across the road has a s shaped ramp .
many buildings and some park plants are near a viaduct with some cars .,dense residential areas on both sides of the road .
many overpasses are over the roads and some houses are on one side of the roads .,arc shaped viaducts crisscross over the land .
A viaduct with some cars on the road .,many houses are located next to the road .
A viaduct with a road go across another two roads diagonally .,the viaduct has four symmetrical rings of ramps with sparse trees in them .
A lot of cars are running on a viaduct .,two circular ramps of the viaduct forms into a shape like a owl's eyes .
A lot of cars are running on a viaduct surrounded by buildings .,many buildings are near a complicated viaduct with some cars .
A viaduct with some cars on the road .,there is a arc shaped viaduct over the cloverleaf shaped ramps .
this is an old playground with a football field and some other sports areas .,this is a huge playground with basketball courts and tennis courts planned orderly inside .
this is a playground with a football field and some basketball courts .,"the block formed by two roads has a football field, a basketball court and several buildings ."
this is a stadium with a football field and some buildings .,in this area at the road corner a standard  new football field with two basketball courts aside can be seen.
this is an old playground with a basketball court .,the football field is located near a l-shaped buildings and a construction site .
this stadium has a football field and some tennis courts .,the football field and two basketball courts are a part of this irregular area near the construction site
this is a playground with a football field and a basketball court .,dense buildings surround this small-size exercise yard
This is a playground with a football field and some tennis courts .,"the playground sits behind a t-shaped, black building ."
this is a playground with some buildings and trees .,"the area beside the road consists of a football field, a few rows of buildings and a round green belt ."
Two tennis courts arranged neatly with some plants surrounded .,this irregular area embraced by a footpath includes two exactly same tennis courts .
This is an old playground with a football field in it .,"the football field is surrounded by lush trees, filled with fog over it ."
this is a playground with a red track field .,"a football field, a shell-shaped gymnasium, and a number of basketball courts are all under the fog ."
this is a playground with a basketball court and a football field .,this area not only has regular football field and basketball courts but also has an artificial lake .
This is an old stadium with a football field in it .,the football field and its stands make up a circle .
this is an old playground with a football field and a red track .,the finished football field sits close to the street while other courts are under construction .
this is an old stadium with a football field in it .,many basketball courts form a line which is is perpendicular to the football field .
this is a playground with some basketball courts and a football field .,"the area which is at the junction of the road and the river owns two football fields, some tennis courts and basketball courts ."
This is an old playground with a basketball court and a football field .,the football field and several tennis courts are located near the river
this is a playground with some basketball courts and a red track .,the small playground is at the triangular area formed by buildings and streets .
This is an old playground with a red track and some buildings .,a football field with yellowish turf .
this is a playground with a basketball court and some other sports areas .,there are many basketball courts side by side while the turf of the football field has been yellowish
this is a school with some buildings and sports areas .,"behind the distinctive buildings, a football field and several courts can be seen ."
This is a playground with a football field and some other sports areas .,"the rectangular area with fense contains a white building,a football field and two basketball courts ."
This is an old playground with a football field in it .,the blue building beside the football field is eye-watching .
This is a swimming pool with some plants around it .,various of buildings embrace this rectangular playground .
A playground is surrounded by some buildings .,the football field and basketball courts scattering this block
A basketball court is surrounded by buildings .,messy buildings surround this old playground in this area .
This is an old playground with a basketball court .,the playground consisting of two courts is next to a c-shaped building .
This is a playground with some buildings and plants .,several edifices stand beside the football field
this is a playground with some tennis courts and a lake .,the exercise yard made up of a football field and several courts are surrounded by rows of residential buildings with red roofs .
This is an old playground with a red track .,a half-old is situated near the distinctive buildings
This is an old playground with a road beside .,the playground with yellowish turf is located beside the river and there is a treelined path .
this is a playground with some buildings around it .,the curved road divide the area into two parts and the playground is located in the larger one .
This is a playground with some buildings and a road beside .,the main color of the courts near the football field is orange which is quite eye-watching
This is a playground with some basketball courts and a building .,"the old, brown exercise yard is decorated by some trees ."
A basketball court is surrounded by buildings .,the silver-gray building cast a shadow over the basketball court .
A baseball diamond is next to a road with a pool and a building beside .,"the playground is located near the intersection of two roads, and we can clearly see the bright blue swimming pool on the roof of the nearby building ."
A tennis court with some plants and buildings are near a road .,"several tennis courts are situated at the street corner, embellished by some coconut trees ."
this is an old playground with a road and some buildings beside .,the turf of the playground was almost polished and there were many people on the playground .
This is an old playground with a track field .,"this is a distinctive gray playground, sitting next to the grassland ."
respective baseball fields are surrounded by some buildings .,"near the busy street, there are a large area of grassland, silver-gray buildings and a baseball field ."
This is a playground with two baseball fields and a swimming pool .,"tennis courts, basketball courts, football field, baseball field and swimming pool are the parts of this park, surrounded by a curved road ."
this is a football field with some plants and buildings .,the playground with a 'b' in the center and the greens courts aside is outstanding in this area since other buildings are white and gray .
A basketball court with some basketball courts is between a parking lot and a road .,"the parking lot, a basketball court and a building make up this square ."
This is a basketball court with two basketball courts .,small villas and a basketball court form this block .
this is a basketball court with some courts .,rows of buildings are planned orderly with a basketball court nearby .
this is a playground with a baseball field and some tennis courts .,two parallel streets form this block including a green football field  six tennis courts and different kinds of buildings
four tennis courts arranged neatly with some plants and a baseball field are near some buildings and roads .,"in this irregular place, there are some tennis courts and a shabby baseball field ."
A playground with some basketball courts is near a swimming pool and some buildings .,"the area is well-organized, including buildings, a football field, a swimming pool, basketball courts and orderly cars ."
Some basketball courts arranged neatly with some roads and parking lots are next to it .,the main color of this street basketball court is gray .
two tennis courts are surrounded by buildings .,the tennis courts are located at the gap between the houses and the street .
A bridge is between the two sides of the river .,"a short, slender bridge connects two banks of the river ."
this is a dense residential area with some buildings and tennis courts .,there are two tennis courts on each side of the building .
